Date,Open,High,Low,Close,Volume
4/23/1992 0:00:00,3015,3015,2895,2895,
4/24/1992 0:00:00,2857,2857,2738,2738,
4/27/1992 0:00:00,2715,2715,2597,2597,
4/28/1992 0:00:00,2597,2809,2575,2809,
4/29/1992 0:00:00,2785,2785,2553,2553,
4/30/1992 0:00:00,2553,2635,2521,2635,
5/4/1992 0:00:00,2614,2614,2500,2500,
5/5/1992 0:00:00,2500,2592,2479,2592,
5/6/1992 0:00:00,2592,2683,2571,2683,
5/7/1992 0:00:00,2661,2661,2661,2661,
5/8/1992 0:00:00,2661,2750,2640,2750,
5/11/1992 0:00:00,2750,2837,2728,2837,
5/12/1992 0:00:00,2837,2912,2804,2912,
5/13/1992 0:00:00,2889,2889,2889,2889,
5/14/1992 0:00:00,2867,2867,2867,2867,
5/15/1992 0:00:00,2867,2950,2845,2845,
5/18/1992 0:00:00,2812,2812,2708,2708,
5/19/1992 0:00:00,2708,2791,2688,2791,
5/20/1992 0:00:00,2771,2771,2771,2771,
5/21/1992 0:00:00,2720,2720,2619,2619,
5/22/1992 0:00:00,2619,2619,2518,2619,
5/25/1992 0:00:00,2500,2500,2300,2400,
5/26/1992 0:00:00,2374,2374,2176,2374,
5/27/1992 0:00:00,2374,2554,2259,2456,
5/28/1992 0:00:00,2456,2526,2429,2429,
5/29/1992 0:00:00,2429,2509,2316,2509,
6/1/1992 0:00:00,2509,2674,2483,2578,
6/2/1992 0:00:00,2578,2655,2560,2560,
6/3/1992 0:00:00,2560,2628,2534,2534,
6/4/1992 0:00:00,2517,2517,2424,2424,
6/5/1992 0:00:00,2424,2492,2399,2399,
6/8/1992 0:00:00,2375,2375,2284,2284,
6/9/1992 0:00:00,2284,2360,2269,2269,
6/10/1992 0:00:00,2269,2337,2247,2247,
6/11/1992 0:00:00,2247,2403,2225,2314,
6/12/1992 0:00:00,2292,2292,2204,2204,
6/15/1992 0:00:00,2190,2190,2014,2102,
6/16/1992 0:00:00,2082,2082,1909,1909,
6/17/1992 0:00:00,1891,1891,1719,1719,
6/19/1992 0:00:00,1719,1873,1703,1873,
6/22/1992 0:00:00,1856,1856,1687,1772,
6/23/1992 0:00:00,1755,1755,1672,1755,
6/24/1992 0:00:00,1739,1739,1657,1657,
6/25/1992 0:00:00,1657,1724,1642,1724,
6/26/1992 0:00:00,1724,1790,1709,1790,
6/29/1992 0:00:00,1693,1693,1532,1532,
6/30/1992 0:00:00,1532,1594,1514,1594,
7/1/1992 0:00:00,1594,1659,1580,1580,
7/2/1992 0:00:00,1580,1724,1567,1724,
7/3/1992 0:00:00,1709,1709,1554,1554,
7/6/1992 0:00:00,1554,1618,1541,1618,
7/7/1992 0:00:00,1681,1757,1681,1757,
7/8/1992 0:00:00,1757,1818,1742,1818,
7/9/1992 0:00:00,1818,1879,1803,1803,
7/10/1992 0:00:00,1803,1938,1789,1938,
7/13/1992 0:00:00,1938,2064,1917,2064,
7/14/1992 0:00:00,2064,2194,1975,2194,
7/15/1992 0:00:00,2177,2177,2104,2104,
7/16/1992 0:00:00,2104,2232,2088,2160,
7/17/1992 0:00:00,2137,2137,2066,2066,
7/20/1992 0:00:00,2050,2050,1909,1909,
7/21/1992 0:00:00,1894,1894,1754,1824,
7/22/1992 0:00:00,1806,1806,1736,1736,
7/23/1992 0:00:00,1736,1792,1723,1723,
7/24/1992 0:00:00,1723,1843,1706,1843,
7/27/1992 0:00:00,1843,1897,1761,1897,
7/28/1992 0:00:00,1897,1945,1811,1878,
7/29/1992 0:00:00,1865,1865,1731,1731,
7/30/1992 0:00:00,1731,1781,1715,1781,
7/31/1992 0:00:00,1764,1764,1698,1764,
8/3/1992 0:00:00,1751,1751,1621,1621,
8/4/1992 0:00:00,1621,1667,1603,1603,
8/5/1992 0:00:00,1603,1651,1524,1588,
8/6/1992 0:00:00,1588,1699,1573,1699,
8/7/1992 0:00:00,1699,1808,1684,1808,
8/10/1992 0:00:00,1808,1854,1792,1792,
8/11/1992 0:00:00,1792,1838,1776,1838,
8/12/1992 0:00:00,1838,1882,1761,1821,
8/13/1992 0:00:00,1741,1741,1681,1681,
8/14/1992 0:00:00,1667,1667,1607,1667,
8/17/1992 0:00:00,1649,1649,1590,1590,
8/18/1992 0:00:00,1590,1635,1576,1576,
8/19/1992 0:00:00,1576,1679,1563,1679,
8/20/1992 0:00:00,1679,1719,1604,1604,
8/21/1992 0:00:00,1588,1588,1531,1531,
8/24/1992 0:00:00,1531,1575,1518,1575,
8/25/1992 0:00:00,1614,1670,1614,1670,
8/26/1992 0:00:00,1670,1712,1657,1712,
8/27/1992 0:00:00,1712,1804,1695,1804,
8/28/1992 0:00:00,1804,1895,1786,1895,
8/31/1992 0:00:00,1823,1823,1715,1769,
9/1/1992 0:00:00,1769,1855,1748,1802,
9/2/1992 0:00:00,1785,1785,1679,1732,
9/3/1992 0:00:00,1712,1712,1609,1609,
9/4/1992 0:00:00,1609,1645,1593,1593,
9/8/1992 0:00:00,1593,1728,1576,1728,
9/9/1992 0:00:00,1728,1763,1712,1712,
9/10/1992 0:00:00,1712,1744,1694,1694,
9/11/1992 0:00:00,1694,1725,1676,1676,
9/14/1992 0:00:00,1707,1755,1707,1755,
9/15/1992 0:00:00,1755,1785,1689,1689,
9/16/1992 0:00:00,1689,1719,1671,1719,
9/17/1992 0:00:00,1701,1701,1701,1701,
9/18/1992 0:00:00,1684,1684,1684,1684,
9/21/1992 0:00:00,1684,1759,1667,1759,
9/22/1992 0:00:00,1739,1739,1739,1739,
9/23/1992 0:00:00,1739,1767,1676,1722,
9/24/1992 0:00:00,1747,1881,1747,1881,
9/25/1992 0:00:00,1881,1993,1860,1948,
9/28/1992 0:00:00,1930,1930,1842,1842,
9/29/1992 0:00:00,1868,1998,1868,1955,
9/30/1992 0:00:00,1955,1977,1891,1934,
10/1/1992 0:00:00,1934,1998,1828,1998,
10/2/1992 0:00:00,1934,1934,1808,1808,
10/5/1992 0:00:00,1789,1789,1623,1706,
10/6/1992 0:00:00,1706,1770,1647,1647,
10/7/1992 0:00:00,1630,1630,1548,1548,
10/8/1992 0:00:00,1548,1572,1532,1572,
10/9/1992 0:00:00,1572,1597,1557,1597,
10/13/1992 0:00:00,1578,1578,1499,1499,
10/14/1992 0:00:00,1499,1524,1445,1484,
10/15/1992 0:00:00,1484,1506,1429,1429,
10/16/1992 0:00:00,1415,1415,1339,1415,
10/19/1992 0:00:00,1415,1513,1400,1513,
10/20/1992 0:00:00,1497,1497,1422,1422,
10/21/1992 0:00:00,1422,1444,1332,1406,
10/22/1992 0:00:00,1428,1465,1428,1428,
10/23/1992 0:00:00,1428,1522,1377,1522,
10/26/1992 0:00:00,1540,1611,1540,1611,
10/27/1992 0:00:00,1593,1593,1522,1522,
10/28/1992 0:00:00,1522,1539,1470,1505,
10/29/1992 0:00:00,1524,1593,1524,1559,
10/30/1992 0:00:00,1576,1610,1576,1576,
11/3/1992 0:00:00,1576,1592,1524,1524,
11/4/1992 0:00:00,1524,1541,1474,1507,
11/5/1992 0:00:00,1458,1458,1425,1425,
11/6/1992 0:00:00,1425,1440,1375,1408,
11/9/1992 0:00:00,1378,1378,1282,1282,
11/10/1992 0:00:00,1282,1299,1267,1299,
11/11/1992 0:00:00,1299,1331,1299,1299,
11/12/1992 0:00:00,1299,1316,1284,1284,
11/13/1992 0:00:00,1284,1302,1209,1209,
11/16/1992 0:00:00,1209,1226,1134,1165,
11/17/1992 0:00:00,1165,1243,1152,1243,
11/18/1992 0:00:00,1243,1260,1200,1200,
11/19/1992 0:00:00,1200,1216,1157,1157,
11/20/1992 0:00:00,1157,1203,1115,1203,30-32
11/23/1992 0:00:00,1203,1220,1162,1162,
11/24/1992 0:00:00,1162,1194,1138,1194,
11/25/1992 0:00:00,1194,1268,1183,1268,
11/26/1992 0:00:00,1268,1324,1268,1268,
11/27/1992 0:00:00,1268,1283,1227,1255,
11/30/1992 0:00:00,1255,1299,1244,1271,
12/1/1992 0:00:00,1271,1313,1231,1313,
12/2/1992 0:00:00,1302,1302,1247,1247,
12/3/1992 0:00:00,1235,1235,1182,1209,
12/4/1992 0:00:00,1209,1224,1170,1224,
12/7/1992 0:00:00,1224,1264,1212,1264,
12/8/1992 0:00:00,1252,1252,1200,1226,
12/9/1992 0:00:00,1214,1214,1188,1214,
12/10/1992 0:00:00,1214,1253,1202,1228,
12/11/1992 0:00:00,1228,1267,1217,1242,
12/14/1992 0:00:00,1255,1305,1255,1305,
12/15/1992 0:00:00,1305,1317,1242,1242,
12/16/1992 0:00:00,1227,1227,1178,1227,
12/17/1992 0:00:00,1227,1243,1219,1243,
12/18/1992 0:00:00,1243,1255,1231,1231,
12/21/1992 0:00:00,1231,1242,1219,1242,
12/22/1992 0:00:00,1242,1254,1207,1254,
12/23/1992 0:00:00,1254,1406,1241,1406,
12/28/1992 0:00:00,1406,1561,1377,1538,
12/29/1992 0:00:00,1538,1612,1476,1499,
12/30/1992 0:00:00,1505,1550,1505,1528,
1/4/1993 0:00:00,1528,1543,1480,1522,
1/5/1993 0:00:00,1522,1670,1518,1670,
1/7/1993 0:00:00,1670,1696,1612,1696,
1/8/1993 0:00:00,1696,1780,1676,1759,
1/11/1993 0:00:00,1760,1843,1760,1781,
1/12/1993 0:00:00,1781,1801,1739,1801,
1/13/1993 0:00:00,1781,1781,1679,1679,
1/14/1993 0:00:00,1679,1778,1620,1758,
1/15/1993 0:00:00,1758,1816,1719,1738,
1/18/1993 0:00:00,1738,1738,1660,1719,
1/19/1993 0:00:00,1719,1756,1640,1660,
1/20/1993 0:00:00,1659,1659,1621,1640,
1/21/1993 0:00:00,1640,1640,1583,1621,
1/22/1993 0:00:00,1621,1750,1601,1750,
1/26/1993 0:00:00,1750,1763,1709,1709,
1/27/1993 0:00:00,1709,1741,1669,1687,
1/28/1993 0:00:00,1687,1720,1649,1649,
1/29/1993 0:00:00,1645,1645,1609,1627,
2/1/1993 0:00:00,1605,1605,1502,1519,
2/2/1993 0:00:00,1519,1550,1499,1533,
2/3/1993 0:00:00,1533,1580,1530,1530,
2/4/1993 0:00:00,1530,1609,1510,1592,
2/5/1993 0:00:00,1592,1604,1555,1571,
2/8/1993 0:00:00,1571,1600,1535,1600,
2/9/1993 0:00:00,1600,1659,1579,1643,
2/10/1993 0:00:00,1643,1700,1606,1653,
2/11/1993 0:00:00,1653,1703,1611,1703,
2/12/1993 0:00:00,1666,1666,1560,1605,
2/15/1993 0:00:00,1605,1726,1605,1726,
2/16/1993 0:00:00,1726,1765,1705,1705,
2/17/1993 0:00:00,1705,1786,1698,1786,
2/18/1993 0:00:00,1786,1807,1763,1792,
2/19/1993 0:00:00,1792,1942,1769,1942,
2/25/1993 0:00:00,1942,2047,1893,2005,
2/26/1993 0:00:00,2005,2008,1939,1939,
3/1/1993 0:00:00,1892,1892,1810,1823,
3/2/1993 0:00:00,1804,1804,1709,1777,
3/3/1993 0:00:00,1777,1854,1773,1854,
3/4/1993 0:00:00,1854,1928,1848,1915,
3/5/1993 0:00:00,1909,1909,1817,1830,
3/8/1993 0:00:00,1830,1955,1812,1955,
3/9/1993 0:00:00,1955,2013,1936,2000,
3/11/1993 0:00:00,1985,1985,1884,1909,
3/12/1993 0:00:00,1909,1954,1879,1954,
3/15/1993 0:00:00,1954,2071,1934,2071,
3/16/1993 0:00:00,2071,2172,2049,2135,
3/17/1993 0:00:00,2135,2163,2078,2078,
3/18/1993 0:00:00,2078,2201,2057,2190,
3/19/1993 0:00:00,2190,2192,2132,2180,
3/22/1993 0:00:00,2180,2264,2170,2205,
3/23/1993 0:00:00,2136,2136,2136,2136,
3/24/1993 0:00:00,2136,2183,2102,2183,
3/25/1993 0:00:00,2149,2149,2069,2069,
3/26/1993 0:00:00,2069,2093,2036,2047,
3/29/1993 0:00:00,2047,2103,2036,2103,
3/30/1993 0:00:00,2103,2136,2080,2080,
3/31/1993 0:00:00,2080,2124,2058,2102,
4/1/1993 0:00:00,2102,2118,2031,2042,
4/2/1993 0:00:00,2042,2060,2017,2038,
4/5/1993 0:00:00,2012,2012,1928,1928,
4/6/1993 0:00:00,1923,1923,1840,1871,
4/7/1993 0:00:00,1871,1939,1868,1919,
4/12/1993 0:00:00,1919,1944,1863,1944,
4/13/1993 0:00:00,1944,1979,1919,1968,
4/14/1993 0:00:00,1972,2130,1972,2130,
4/15/1993 0:00:00,2130,2179,2062,2062,
4/16/1993 0:00:00,2062,2093,2025,2073,
4/19/1993 0:00:00,2073,2121,2064,2064,
4/20/1993 0:00:00,2064,2187,2056,2177,
4/22/1993 0:00:00,2177,2194,2102,2185,
4/23/1993 0:00:00,2183,2183,2120,2120,
4/26/1993 0:00:00,2120,2254,2111,2227,
4/27/1993 0:00:00,2227,2250,2171,2179,
4/28/1993 0:00:00,2151,2151,2072,2125,
4/29/1993 0:00:00,2125,2141,2046,2046,
4/30/1993 0:00:00,2046,2062,2020,2054,
5/3/1993 0:00:00,2054,2054,2003,2029,
5/4/1993 0:00:00,2029,2079,2021,2071,
5/5/1993 0:00:00,2038,2038,1997,2021,
5/6/1993 0:00:00,2021,2085,2012,2069,
5/7/1993 0:00:00,2069,2093,2044,2077,
5/10/1993 0:00:00,2044,2044,1988,1996,
5/11/1993 0:00:00,1996,2058,1964,2058,
5/12/1993 0:00:00,2058,2095,2025,2064,
5/13/1993 0:00:00,2064,2108,2039,2093,
5/14/1993 0:00:00,2093,2105,2067,2105,
5/17/1993 0:00:00,2105,2184,2065,2184,
5/18/1993 0:00:00,2184,2209,2173,2173,
5/19/1993 0:00:00,2173,2205,2147,2176,
5/20/1993 0:00:00,2176,2308,2164,2301,
5/21/1993 0:00:00,2330,2386,2330,2358,
5/24/1993 0:00:00,2365,2407,2365,2365,
5/25/1993 0:00:00,2365,2392,2343,2385,
5/26/1993 0:00:00,2385,2445,2369,2397,
5/27/1993 0:00:00,2345,2345,2298,2311,
5/28/1993 0:00:00,2308,2308,2275,2302,
5/31/1993 0:00:00,2302,2368,2302,2335,
6/1/1993 0:00:00,2335,2422,2305,2422,
6/2/1993 0:00:00,2429,2545,2429,2526,
6/3/1993 0:00:00,2526,2595,2462,2589,
6/4/1993 0:00:00,2589,2631,2537,2581,
6/7/1993 0:00:00,2497,2497,2420,2491,
6/8/1993 0:00:00,2491,2507,2449,2460,
6/9/1993 0:00:00,2436,2436,2372,2390,
6/11/1993 0:00:00,2390,2559,2366,2554,
6/14/1993 0:00:00,2554,2584,2500,2539,
6/15/1993 0:00:00,2539,2646,2524,2547,
6/16/1993 0:00:00,2547,2707,2515,2707,
6/17/1993 0:00:00,2707,2874,2522,2549,
6/18/1993 0:00:00,2549,2624,2485,2534,
6/21/1993 0:00:00,2534,2614,2518,2560,
6/22/1993 0:00:00,2560,2624,2492,2613,
6/23/1993 0:00:00,2613,2680,2507,2507,
6/24/1993 0:00:00,2507,2544,2451,2508,
6/25/1993 0:00:00,2508,2660,2477,2655,
6/28/1993 0:00:00,2655,2753,2617,2692,
6/29/1993 0:00:00,2666,2666,2568,2578,
6/30/1993 0:00:00,2597,2656,2597,2632,
7/1/1993 0:00:00,2632,2667,2522,2532,
7/2/1993 0:00:00,2532,2558,2472,2501,
7/5/1993 0:00:00,2501,2594,2471,2594,
7/6/1993 0:00:00,2594,2646,2562,2618,
7/7/1993 0:00:00,2618,2655,2600,2651,
7/8/1993 0:00:00,2642,2642,2569,2601,
7/9/1993 0:00:00,2601,2650,2569,2646,
7/12/1993 0:00:00,2646,2698,2614,2654,
7/13/1993 0:00:00,2654,2661,2604,2652,
7/14/1993 0:00:00,2616,2616,2507,2516,
7/15/1993 0:00:00,2516,2520,2434,2447,
7/16/1993 0:00:00,2447,2477,2392,2468,
7/19/1993 0:00:00,2468,2480,2447,2476,
7/20/1993 0:00:00,2476,2574,2467,2574,
7/21/1993 0:00:00,2574,2580,2539,2543,
7/22/1993 0:00:00,2504,2504,2444,2488,
7/23/1993 0:00:00,2488,2562,2458,2530,
7/26/1993 0:00:00,2511,2511,2421,2432,
7/27/1993 0:00:00,2426,2426,2375,2415,
7/28/1993 0:00:00,2415,2477,2385,2451,
7/29/1993 0:00:00,2451,2520,2444,2512,
7/30/1993 0:00:00,2512,2527,2456,2459,
8/2/1993 0:00:00,2432,2432,2309,2321,
8/3/1993 0:00:00,2317,2317,2254,2287,
8/4/1993 0:00:00,2287,2320,2223,2230,
8/5/1993 0:00:00,2230,2251,2159,2234,
8/6/1993 0:00:00,2234,2272,2226,2258,
8/9/1993 0:00:00,2258,2285,2212,2233,
8/10/1993 0:00:00,2233,2294,2198,2294,
8/11/1993 0:00:00,2295,2373,2295,2366,
8/12/1993 0:00:00,2366,2467,2340,2463,
8/13/1993 0:00:00,2463,2478,2399,2399,
8/16/1993 0:00:00,2411,2535,2411,2518,
8/17/1993 0:00:00,2518,2615,2503,2580,
8/18/1993 0:00:00,2580,2588,2496,2525,
8/19/1993 0:00:00,2543,2672,2543,2669,
8/20/1993 0:00:00,2669,2762,2635,2734,
8/23/1993 0:00:00,2734,2754,2668,2748,
8/24/1993 0:00:00,2748,2780,2668,2734,
8/25/1993 0:00:00,2734,2744,2694,2726,
8/26/1993 0:00:00,2726,2863,2698,2863,
8/27/1993 0:00:00,2863,2899,2812,2826,
8/30/1993 0:00:00,2826,2871,2733,2862,
8/31/1993 0:00:00,2823,2823,2727,2730,
9/1/1993 0:00:00,2730,2881,2691,2864,
9/2/1993 0:00:00,2879,3031,2879,3025,
9/3/1993 0:00:00,3025,3037,2939,3031,
9/6/1993 0:00:00,3031,3109,2992,3109,
9/8/1993 0:00:00,3109,3229,3089,3100,
9/9/1993 0:00:00,3090,3090,3017,3075,
9/10/1993 0:00:00,3075,3158,3018,3143,
9/13/1993 0:00:00,3143,3207,3062,3116,
9/14/1993 0:00:00,3077,3077,2954,2999,
9/15/1993 0:00:00,2999,3048,2938,3048,
9/16/1993 0:00:00,3048,3134,3035,3098,
9/17/1993 0:00:00,3098,3331,3085,3320,
9/20/1993 0:00:00,3320,3339,3219,3252,
9/21/1993 0:00:00,3234,3234,3104,3130,
9/22/1993 0:00:00,3130,3195,3046,3120,
9/23/1993 0:00:00,3120,3234,3083,3229,
9/24/1993 0:00:00,3229,3320,3146,3178,
9/27/1993 0:00:00,3131,3131,3052,3054,
9/28/1993 0:00:00,3054,3115,3011,3113,
9/29/1993 0:00:00,3113,3189,3101,3146,
9/30/1993 0:00:00,3146,3167,3083,3085,
10/1/1993 0:00:00,3085,3114,3037,3075,
10/4/1993 0:00:00,3065,3065,3004,3006,
10/5/1993 0:00:00,3006,3095,2968,3086,
10/6/1993 0:00:00,3086,3157,3017,3128,
10/7/1993 0:00:00,3128,3271,3109,3261,
10/8/1993 0:00:00,3261,3337,3259,3326,
10/11/1993 0:00:00,3326,3430,3276,3422,
10/13/1993 0:00:00,3422,3504,3398,3446,70
10/14/1993 0:00:00,3446,3476,3382,3439,
10/15/1993 0:00:00,3439,3441,3365,3432,
10/18/1993 0:00:00,3397,3397,3057,3057,
10/19/1993 0:00:00,3057,3158,2864,3107,
10/20/1993 0:00:00,3032,3032,2817,2876,
10/21/1993 0:00:00,2823,2823,2555,2565,
10/22/1993 0:00:00,2574,2819,2574,2804,45-55
10/25/1993 0:00:00,2745,2745,2574,2585,
10/26/1993 0:00:00,2585,2682,2560,2681,
10/27/1993 0:00:00,2681,2890,2667,2890,
10/28/1993 0:00:00,2890,2899,2763,2811,
10/29/1993 0:00:00,2811,2891,2725,2877,
11/1/1993 0:00:00,2877,3128,2872,3128,
11/3/1993 0:00:00,3114,3114,2993,3048,
11/4/1993 0:00:00,3048,3079,2925,2954,
11/5/1993 0:00:00,2954,2967,2852,2960,
11/8/1993 0:00:00,2960,3102,2892,3080,
11/9/1993 0:00:00,3080,3145,2994,3041,
11/10/1993 0:00:00,3041,3209,2997,3205,
11/11/1993 0:00:00,3205,3240,3157,3219,
11/12/1993 0:00:00,3219,3291,3197,3212,
11/16/1993 0:00:00,3212,3215,3150,3211,
11/17/1993 0:00:00,3211,3331,3163,3311,
11/18/1993 0:00:00,3311,3363,3242,3271,
11/19/1993 0:00:00,3255,3255,3201,3203,
11/22/1993 0:00:00,3185,3185,3119,3125,
11/23/1993 0:00:00,3125,3215,3086,3215,
11/24/1993 0:00:00,3215,3353,3199,3310,
11/25/1993 0:00:00,3310,3339,3240,3337,
11/26/1993 0:00:00,3337,3416,3295,3356,
11/29/1993 0:00:00,3312,3312,3223,3238,
11/30/1993 0:00:00,3213,3213,3116,3162,
12/1/1993 0:00:00,3162,3176,3036,3039,
12/2/1993 0:00:00,3039,3064,2995,3048,
12/3/1993 0:00:00,3048,3208,3034,3196,
12/6/1993 0:00:00,3196,3235,3152,3233,
12/7/1993 0:00:00,3208,3208,3121,3154,
12/8/1993 0:00:00,3154,3158,3080,3092,
12/9/1993 0:00:00,3049,3049,2970,2981,
12/10/1993 0:00:00,2981,3048,2940,3000,
12/13/1993 0:00:00,2998,2998,2922,2998,
12/14/1993 0:00:00,2998,3086,2962,3062,
12/15/1993 0:00:00,3062,3093,2976,2984,
12/16/1993 0:00:00,2984,3005,2934,2973,
12/17/1993 0:00:00,2973,3002,2967,2981,
12/20/1993 0:00:00,2981,3006,2933,2946,
12/21/1993 0:00:00,2960,3133,2960,3133,
12/22/1993 0:00:00,3133,3231,3117,3218,
12/23/1993 0:00:00,3199,3199,3134,3183,
12/27/1993 0:00:00,3183,3198,3096,3185,
12/28/1993 0:00:00,3185,3189,3112,3151,
12/29/1993 0:00:00,3151,3222,3134,3221,
12/30/1993 0:00:00,3220,3220,3178,3193,
1/3/1994 0:00:00,3139,3139,3082,3138,
1/4/1994 0:00:00,3138,3254,3108,3254,
1/5/1994 0:00:00,3254,3484,3218,3366,
1/6/1994 0:00:00,3366,3513,3362,3496,
1/7/1994 0:00:00,3496,3697,3460,3689,
1/10/1994 0:00:00,3689,3823,3632,3776,
1/11/1994 0:00:00,3776,3827,3670,3761,
1/12/1994 0:00:00,3761,3960,3707,3960,
1/13/1994 0:00:00,3960,4125,3859,4082,
1/14/1994 0:00:00,4082,4107,3904,3939,
1/17/1994 0:00:00,3939,4239,3890,4210,
1/18/1994 0:00:00,4210,4416,4102,4196,
1/19/1994 0:00:00,4196,4391,4055,4377,
1/20/1994 0:00:00,4659,4732,4659,4732,
1/21/1994 0:00:00,4715,4715,4454,4552,
1/24/1994 0:00:00,4552,4553,4339,4482,
1/26/1994 0:00:00,4482,4529,4328,4438,
1/27/1994 0:00:00,4438,4587,4218,4242,
1/28/1994 0:00:00,4242,4247,4188,4203,
1/31/1994 0:00:00,4203,4459,4164,4445,
2/1/1994 0:00:00,4445,4880,4409,4873,
2/2/1994 0:00:00,4873,5023,4743,4762,
2/3/1994 0:00:00,4700,4700,4471,4535,
2/4/1994 0:00:00,4535,4615,4460,4580,
2/7/1994 0:00:00,4580,4659,4490,4646,
2/8/1994 0:00:00,4646,4829,4619,4774,
2/9/1994 0:00:00,4774,4851,4690,4828,
2/10/1994 0:00:00,4828,5188,4687,5187,
2/11/1994 0:00:00,5187,5334,5093,5268,
2/17/1994 0:00:00,5268,5289,5077,5105,
2/18/1994 0:00:00,5062,5062,4546,4549,
2/21/1994 0:00:00,4549,4711,4342,4390,
2/22/1994 0:00:00,4390,4894,4310,4890,
2/23/1994 0:00:00,4890,5087,4731,4844,
2/24/1994 0:00:00,4844,4879,4344,4465,
2/25/1994 0:00:00,4465,4645,4381,4429,
2/28/1994 0:00:00,4429,4613,4349,4545,
3/1/1994 0:00:00,4545,4776,4476,4558,
3/2/1994 0:00:00,4458,4458,4239,4272,
3/3/1994 0:00:00,4272,4433,4212,4307,
3/4/1994 0:00:00,4307,4538,4230,4519,
3/7/1994 0:00:00,4519,4769,4446,4769,
3/8/1994 0:00:00,4769,4788,4654,4738,
3/9/1994 0:00:00,4738,4898,4639,4881,
3/10/1994 0:00:00,4881,5045,4800,4832,
